Dominio,Tipo,Note,Priorità
psicoadvisor.com,Portale psicologia,Articoli su stili di attaccamento e dinamiche di coppia,Alta
stateofmind.it,Portale psicologia,Hub dedicato attaccamento + AAI,Alta
mondopsicologi.it,Portale psicologia,Guide su ansioso/evitante + directory professionisti,Alta
psicologionline.net,Portale psicologia,Articolo pillar sui 4 stili di attaccamento,Alta
psicologi-italia.it,Portale psicologia,Teoria attaccamento + relazioni intime + Bowlby,Alta
guidapsicologi.it,Portale psicologia,Articoli long-tail su attaccamento evitante/ansioso,Alta
serenis.it,Piattaforma salute mentale,Guide complete ansioso/evitante (contenuto SEO forte),Alta
regainlove.com,Relazioni e coppia,Sezione IT dedicata attaccamento e paura abbandono,Alta
idrlabs.com,Test online,Test stile attaccamento in italiano (concorrente diretto test.html),Alta
menteattiva.it,Portale psicologia,Divulgazione psicologica e relazioni,Media
psiche.it,Portale psicologia,Rivista psicologia online,Media
unobravo.com,Piattaforma salute mentale,Terapia online + contenuti relazioni,Media
felicemente.it,Relazioni e coppia,Magazine relazioni e crescita personale,Media
massimofrancopsicoterapeuta.it,Blog professionista,Contenuti attaccamento ansioso ben posizionati,Media
davidealgeri.com,Blog professionista,Attaccamento evitante e dinamiche relazionali,Media
antolinilucia.it,Blog professionista,Articoli attaccamento evitante,Media
psicologo-roma-monteverde.it,Blog professionista,Pagina pillar stili di attaccamento,Bassa
verywellmind.com,Competitor attenzione,Contenuti attaccamento in inglese che rankano anche in IT,Media
psychologytoday.com,Competitor attenzione,Sezione internazionale + articoli tradotti/indiretti,Media
it.wikipedia.org,Competitor attenzione,Voce teoria dell'attaccamento (SERP informativa),Bassa
wikihow.it,Competitor attenzione,Guide pratiche relazioni e ansia,Bassa
focus.it,Competitor attenzione,Magazine generalista con articoli psicologia relazioni,Bassa
cosmopolitan.it,Competitor attenzione,Contenuti relazioni e stili di personalità,Bassa
donnamoderna.com,Competitor attenzione,Relazioni di coppia e crescita personale,Bassa
fanpage.it,Competitor attenzione,Sezione salute/relazioni con reach elevato,Bassa
